All hps: 2021-11-21 13:28:39 model=clp_mnist dataset=mnist attack=square_linf n_ex=10000 eps=0.3 p=0.8 n_iter=20000
Clean accuracy: 98.82%
115: acc=70.31% acc_corr=71.15% avg#q_ae=47.61 med#q=27.0, avg_margin=0.85 (n_ex=9882, eps=0.300, 482.26s)
116: acc=69.88% acc_corr=70.71% avg#q_ae=48.64 med#q=28.0, avg_margin=0.84 (n_ex=9882, eps=0.300, 485.78s)
117: acc=69.48% acc_corr=70.31% avg#q_ae=49.58 med#q=29.0, avg_margin=0.83 (n_ex=9882, eps=0.300, 489.35s)
118: acc=69.06% acc_corr=69.88% avg#q_ae=50.56 med#q=30.0, avg_margin=0.81 (n_ex=9882, eps=0.300, 492.83s)
119: acc=68.69% acc_corr=69.51% avg#q_ae=51.42 med#q=30.0, avg_margin=0.80 (n_ex=9882, eps=0.300, 496.29s)
120: acc=68.32% acc_corr=69.14% avg#q_ae=52.26 med#q=31.0, avg_margin=0.79 (n_ex=9882, eps=0.300, 499.74s)
121: acc=67.82% acc_corr=68.63% avg#q_ae=53.39 med#q=33.0, avg_margin=0.78 (n_ex=9882, eps=0.300, 503.17s)
122: acc=67.44% acc_corr=68.25% avg#q_ae=54.23 med#q=34.0, avg_margin=0.77 (n_ex=9882, eps=0.300, 506.59s)
123: acc=67.19% acc_corr=67.99% avg#q_ae=54.78 med#q=35.0, avg_margin=0.76 (n_ex=9882, eps=0.300, 510.00s)
124: acc=66.85% acc_corr=67.65% avg#q_ae=55.53 med#q=36.0, avg_margin=0.75 (n_ex=9882, eps=0.300, 513.35s)
125: acc=66.56% acc_corr=67.35% avg#q_ae=56.16 med#q=37.0, avg_margin=0.75 (n_ex=9882, eps=0.300, 516.68s)
126: acc=66.16% acc_corr=66.95% avg#q_ae=57.03 med#q=40.0, avg_margin=0.74 (n_ex=9882, eps=0.300, 520.06s)
127: acc=65.89% acc_corr=66.68% avg#q_ae=57.61 med#q=41.0, avg_margin=0.73 (n_ex=9882, eps=0.300, 523.42s)
128: acc=65.60% acc_corr=66.38% avg#q_ae=58.23 med#q=43.0, avg_margin=0.72 (n_ex=9882, eps=0.300, 526.68s)
129: acc=65.42% acc_corr=66.20% avg#q_ae=58.62 med#q=44.5, avg_margin=0.72 (n_ex=9882, eps=0.300, 529.97s)
130: acc=65.12% acc_corr=65.90% avg#q_ae=59.26 med#q=46.0, avg_margin=0.71 (n_ex=9882, eps=0.300, 533.26s)
131: acc=64.90% acc_corr=65.67% avg#q_ae=59.74 med#q=48.5, avg_margin=0.70 (n_ex=9882, eps=0.300, 536.53s)
132: acc=64.63% acc_corr=65.40% avg#q_ae=60.31 med#q=50.0, avg_margin=0.70 (n_ex=9882, eps=0.300, 539.80s)
133: acc=64.37% acc_corr=65.14% avg#q_ae=60.87 med#q=52.0, avg_margin=0.69 (n_ex=9882, eps=0.300, 543.04s)
134: acc=64.25% acc_corr=65.02% avg#q_ae=61.13 med#q=53.0, avg_margin=0.68 (n_ex=9882, eps=0.300, 546.25s)
135: acc=64.06% acc_corr=64.82% avg#q_ae=61.54 med#q=56.0, avg_margin=0.68 (n_ex=9882, eps=0.300, 549.48s)
136: acc=63.73% acc_corr=64.49% avg#q_ae=62.25 med#q=59.0, avg_margin=0.67 (n_ex=9882, eps=0.300, 552.70s)
